Sno,Name,Contact Number,Fax,Address,Opening Hours,Link
1,DA CLINIC @ BISHAN,69541012,69541012,BLK 501 BISHAN STREET 11                              #01-374 Singapore 570501,"Eve of Chinese New Year (24/01/2020) : 09:00 am to 12:00 pmEve of Chinese New Year (24/01/2020) : 08:00 am to 01:00 pm, 02:00 pm to 05:00 pmEve of Chinese New Year (24/01/2020) : 08:30 am to 12:00 pmEve of Chinese New Year (24/01/2020) : 09:00 am to 12:30 pmChinese New Year (25/01/2020) : 09:00 am to 12:00 pmChinese New Year (26/01/2020) : 09:00 am to 12:00 pm, 06:00 pm to 09:00 pmChinese New Year (26/01/2020) : 08:00 am to 01:00 pm, 02:00 pm to 05:00 pmChinese New Year (26/01/2020) : 09:00 am to 12:00 pm, 06:00 pm to 09:00 pmChinese New Year (27/01/2020) : 09:00 am to 12:00 pm, 06:00 pm to 09:00 pmChinese New Year (27/01/2020) : 09:00 am to 12:00 pm, 06:00 pm to 09:00 pmChinese New Year (27/01/2020) : 08:00 am to 01:00 pm, 02:00 pm to 05:00 pm",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=46758
2,PACIFIC ADVANCE RENAL CARE (CHOA CHU KANG),68930617,69541012,BLK 488B CHOA CHU KANG AVENUE 5                                                                    SUNSHINE GARDENS                                                                                          #01-145 Singapore 682488,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=45738
3,SHANG DENTAL (KALLANG),64433443,69541012,71 KALLANG BAHRU                              #01-531F Singapore 330071,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=46084
4,SINGHEALTH POLYCLINICS - TAMPINES,66436969,69541012,1 TAMPINES STREET 41                                                                    TAMPINES POLYCLINIC                                                                                           Singapore 529203,"Monday to Friday : 08:00 am to 01:00 pm, 02:00 pm to 04:30 pmSaturday : 08:00 am to 12:30 pmSunday and Public Holiday :  Closed",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=25070
5,1 MEDICAL TECK GHEE,62517030,69541012,BLK 410 ANG MO KIO AVENUE 10                                                                    TECK GHEE SQUARE                                                                                          #01-837 Singapore 560410,"Eve of Chinese New Year (24/01/2020) : 07:00 am to 01:00 pmChinese New Year (25/01/2020) : 07:00 am to 01:00 pmChinese New Year (26/01/2020) : 07:00 am to 01:00 pmChinese New Year (27/01/2020) : 07:00 am to 01:00 pm, 06:00 pm to 12:00 am",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=46866
6,115 EASTPOINT CLINIC & SURGERY,64410180,69541012,BLK 115 BEDOK NORTH RD                              #01-301 Singapore 460115,"Eve of Chinese New Year (24/01/2020) : 09:00 am to 12:30 pmMonday to Friday : 09:30 am to 12:30 pm, 02:30 pm to 04:00 pm, 07:00 pm to 08:30 pm",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=1750
7,1728 DENTAL PRACTICE (ANG MO KIO),65099919,69541012,BLK 704 ANG MO KIO AVENUE 8                              #01-2559 Singapore 560704,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=46491
8,1728 DENTAL PRACTICE (JURONG),N/A,69541012,BLK 135 JURONG GATEWAY ROAD                              #01-319 Singapore 600135,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=46556
9,1728 DENTAL PRACTICE (TAMPINES),N/A,69541012,BLK 201E TAMPINES STREET 23                              #01-60 Singapore 527201,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=46555
10,18 CLINIC,62999750,69541012,BLK 101 TOWNER ROAD                              #01-228 Singapore 322101,"Eve of Chinese New Year (24/01/2020) : 08:30 am to 12:00 pmChinese New Year (27/01/2020) : 09:00 am to 12:00 pmMonday to Thursday : 08:30 am to 12:00 pm, 01:30 pm to 04:00 pm, 06:00 pm to 09:00 pmFriday : 08:30 am to 12:05 pm, 01:30 pm to 04:00 pmSaturday :  ClosedSunday : 09:00 am to 01:00 pm",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=1770
