Sno,Name,Address
1,1 MEDICAL TECK GHEE,"410 Ang Mo Kio Avenue 10, #01-837, Teck Ghee Square, S560410"
2,18 CLINIC,"101 Towner Road, #01-228, S322101"
3,1 MEDICAL TECK GHEE,"410 Ang Mo Kio Avenue 10, #01-837, Teck Ghee Square, S560410"
4,1 MEDICAL TECK GHEE,"410 Ang Mo Kio Avenue 10, #01-837, Teck Ghee Square, S560410"
5,A & A CLINIC,"570B Woodlands Avenue 1, #01-07, S732570"
6,A LIFE CLINIC PTE LTD,"10 Sinaran Drive, #09-21, Novena Medical Center, S307506"
7,A MEDICAL CLINIC,"1 Everton Park, #01-27, Everton Park, S081001"
8,A+FFORDABLE CLINIC (AMK AVE 10),"449 Ang Mo Kio Avenue 10, #01-1715, S560449"
9,A1 MEDICAL CLINIC,"418 Bedok North Avenue 2, #01-63, Linear Green @ Bedok, S460418"
10,ABLE MEDICAL,"201D Tampines Street 21, #01-1129, S524201"
11,ACACIA MEDICAL CLINIC,"180 Depot Road, #01-07, Interlace, The, S109684"
12,ACUMED MEDICAL GROUP,"16 Collyer Quay, #02-03, Income At Raffles, S049318"
13,ACUMED MEDICAL GROUP,"215C Compassvale Drive, #01-02, S543215"
14,ACUMED MEDICAL GROUP,"38 Teban Gardens Road, #01-318/319, S600038"
15,ACUMED MEDICAL GROUP,"1 Joo Koon Circle, #01-23, Fairprice Hub, S629117"
16,ACUMED MEDICAL GROUP,"71 Pioneer Road, #01-06, Tuas Amenity Centre, S639591"
17,ACUMED MEDICAL GROUP,"301 Boon Lay Way, #01-18/19, Boon Lay Mrt Station, S649846"
18,ACUMED MEDICAL GROUP,"214 Bedok North Street 1, #01-165, S460214"
19,ACUMED MEDICAL GROUP,"64 Yung Kuang Road, #01-107/111, S610064"
20,ACUMED MEDICAL GROUP,"1 Jurong West Central 2, #B1A-19E, Jurong Point Shopping Centre, S648886"
21,ACUMED MEDICAL GROUP,"111 Woodlands Street 13, #01-78, S730111"
22,ACUMED MEDICAL GROUP,"128 Tuas South Avenue 3, #01-03, S637370"
23,ADIDAH FAMILY CLINIC & SURGERY,"821 Tampines St 81, #01-210, S520821"
24,ADMIRALTY FAMILY MEDICAL CLINIC,"693 Woodlands Avenue 6, #01-08, S730693"
25,ADVANCE CLINIC & SURGERY PTE LTD,"301 Ubi Ave 1, #01-269, S400301"
26,AE MEDICAL CLINIC,"467B Fernvale Link, #01-529, S792467"
27,ALEXANDRA FAMILY CLINIC & SURGERY,"57 Dawson Road, #02-02, S142057"
28,ALLHEALTH FAMILY CLINIC,"872C Tampines Street 86, #01-01, S523872"
29,ALLIANCE CLINIC AND PARTNERS PTE LTD,"652 Jalan Tenaga, #01-50, S410652"
30,AMDA INTERNATIONAL PEACE CLINIC  (PHPC),"9  Taman Serasi, #01-11, S257720"
31,AMITY MEDICAL CLINIC & DENTAL SURGERY,"371 Bt Batok St 31, #01-314, S650371"
32,AMK FAMILY CLINIC PTE LTD,"51 Ang Mo Kio Ave 3, #01-01, No 51 @ Amk, S569922"
33,AMPM FAMILY CLINIC & SURGERY PTE. LTD.,"123 Toa Payoh Lor 1, #01-521, S310123"
34,ANG MO KIO FAMILY MEDICINE CLINIC,"4190 Ang Mo Kio Avenue 6, #03-01, Broadway Plaza, S569841"
35,ANG MO KIO MEDICAL CENTRE,"157 Ang Mo Kio Ave 4, #01-558, S560157"
36,ANSARI FAMILY CLINIC & SURGERY,"78 Lorong 25A Geylang Road, S388259"
37,ANTEH DISPENSARY PTE LTD,"1 Lorong 22 Geylang, #01-02, Grandview Suites, S398664"
38,APEX CLINIC & SURGERY,"306 Woodlands St 31, #01-39, S730306"
39,APEX CLINIC & SURGERY,"844 Yishun St 81, #01-162, S760844"
40,APEX MEDICAL CENTRE (JURONG) PTE LTD,"960 Jurong West St 92, #01-172, S640960"
41,APOLLO MEDICAL CENTRE,"668 Chander Road, #01-24, S210668"
42,ASPEN CLINIC,"283 Bishan Street 22, #01-185, S570283"
43,ASSOCIATE DISPENSARIES,"94 Toa Payoh Lor 4, #01-20, S310094"
44,ASSURANCE MEDICARE CLINIC AND SURGERY,"370 Tanjong Katong Road, S437127"
45,ATRIO FAMILY CLINIC,"291 Yishun Street 22, #01-349, S760291"
46,ATRIO FAMILY CLINIC (AMK) PTE. LTD.,"532 Ang Mo Kio Avenue 10, #01-2461, Cheng San Centre, S560532"
47,B T GOH FAMILY CLINIC & SURGERY,"194 Kim Keat Ave, #01-406, S310194"
48,BALKIS FAMILY CLINIC,"631 Bedok Reservoir Rd, #01-968, S470631"
49,BANYAN CLINIC @ JW,"502 Jurong West Avenue 1, #01-817, S640502"
50,BANYAN CLINIC PTE LTD.,"768 Woodlands Avenue 6, #02-04, Woodlands Mart, S730768"
51,BEDOK CENTRAL CLINIC,"214 Bedok North Street 1, #01-161, S460214"
52,BEDOK CLINIC & SURGERY(FAMILY MEDICAL CENTRE),"17 Bedok South Rd, #01-565, S460017"
53,BEDOK LIFE CLINIC,"123 Bedok North St 2, #01-160, S460123"
54,BEDOK MEDICAL CENTRE,"18 Bedok South Rd, #01-57, S460018"
55,BETHESDA MEDICAL CENTRE,"3 Temasek Boulevard, #03-330, Suntec City Mall, S38983"
56,BISHAN GRACE CLINIC,"150 Bishan Street 11, #01-151, S570150"
57,BL MEDICAL ASSOCIATES,"2 Science Park Drive, #01-10, Ascent, S118222"
58,BLESS MEDICAL CENTRE PTE LTD,"221 Boon Lay Place, #01-108, Boon Lay Shopping Centre, S640221"
59,BOK FAMILY CLINIC PTE LTD,"117 Bedok Reservoir Road, #01-58, S470117"
60,BOON KENG CLINIC & SURGERY,"11 Upper Boon Keng Rd, #01-919, S380011"
61,BOON LAY CLINIC & SURGERY,"221 Boon Lay Place, #01-240/244, S640221"
62,BOON LAY CORPORATION CLINIC,"350 Jurong East Avenue 1, #01-1225, S600350"
63,BOSTON MEDICAL CLINIC,"119 Aljunied Avenue 2, #01-72, S380119"
64,BRADDELL MEDICAL CLINIC,"124 Lorong 1 Toa Payoh, #01-489, S310124"
65,BUKIT BATOK MEDICAL CLINIC,"207 Bukit Batok St 21, #01-114, S650207"
66,BUKIT TIMAH CLINIC,"621A Bukit Timah Road, S269731"
67,BUKIT TIMAH NAM SANG CLINIC,"80 Jln Jurong Kechil, S598591"
68,C & K FAMILY CLINIC PTE LTD,"108 Upper East Coast Road, S455297"
69,C H TAN MEDICAL CLINIC & DENTAL SURGERY,"177 Bt Batok West Ave 8, #01-259, S650177"
70,C K TAN FAMILY CLINIC & SURGERY PTE LTD,"125 Toa Payoh Lor 1, #01-537, S310125"
71,C.M.C. WONG BINJAI CLINIC,"15 Binjai Park, S589824"
72,C3 FAMILY CLINIC @ALJUNIED CRESCENT,"95 Aljunied Crescent, #01-509, Macpherson View, S380095"
73,CALROSE MEDICAL FAMILY CLINIC,"231A Sumang Lane, #01-05, Matilda Court, S821231"
74,CAMRY MEDICAL CENTRE,"95 Toa Payoh Lorong 4, #01-66, S310095"
75,CANBERRA CARE MEDICAL CLINIC,"120 Canberra Crescent, #01-04, Multi Storey Car Park, S750120"
76,CANBERRA MEDICAL AESTHETICS,"306A Canberra Road, #01-01, Multi Storey Car Park, S751306"
77,CARE FAMILY CLINIC,"663 Buffalo Road, #01-12, S210663"
78,CARE MEDICAL PTE LTD,"683 Hougang Ave 8, #01-931, S530683"
79,CARELINK FAMILY CLINIC,"400 Baliestier Road, #01-09/10, S329802"
80,CARING FAMILY CLINIC,"501 Jurong West Street 51, #01-271, S640501"
81,CARITAS CLINIC,"304 Ubi Ave 1, #01-127, S400304"
82,CASHEW MEDICAL & SURGERY,"445 Fajar Rd, #02-522, Fajar Shopping Centre, S670445"
83,CCK FAMILY CLINIC,"304 Choa Chu Kang Ave 4, #01-653, S680304"
84,CECILIA FAMILY CLINIC & SURGERY,"484 Tampines St 43, #01-224, S520484"
85,CENTRAL 24-HR CLINIC ( PIONEER NORTH ),"959 Jurong West Street 92, #01-160, S640959"
86,CENTRAL 24-HR CLINIC (BEDOK),"219 Bedok Central, #01-124, Multi Storey Car Park, S460219"
87,CENTRAL 24-HR CLINIC (CLEMENTI),"450 Clementi Ave 3, #01-291, S120450"
88,CENTRAL 24-HR CLINIC (HOUGANG),"681 Hougang Ave 8, #01-831, S530681"
89,CENTRAL 24-HR CLINIC (MARSILING),"303 Woodlands Street 31, #01-185, S730303"
90,CENTRAL 24-HR CLINIC (PASIR RIS),"446 Pasir Ris Drive 6, #01-122, S510446"
91,CENTRAL 24-HR CLINIC (TAMPINES),"201D Tampines Street 21, #01-1151, S524201"
92,CENTRAL 24-HR CLINIC (WOODLANDS),"768 Woodlands Avenue 6, #02-06A, Woodlands Mart, S730768"
93,CENTRAL 24-HR CLINIC (YISHUN),"701A Yishun Ave 5, #01-04, S761701"
94,CENTRAL 24HR CLINIC (JURONG WEST),"492 Jurong West Street 41, #01-54, S640492"
95,CENTRAL MEDICAL GROUP PTE LTD,"11 Jalan Bukit Merah, #01-4442, S150011"
96,CHAI CHEE CLINIC & SURGERY,"25A Chai Chee Rd, #01-453, S461025"
97,CHAN FAMILY CLINIC,"865 Mountbatten Road, #02-81H, S437844"
98,CHANG CLINIC,"1 Jln Anak Bukit, #B1-08/09/10, Bukit Timah Plaza, S588996"
99,CHANG CLINIC & SURGERY,"7 Everton Park, #01-21, S80007"
100,CHANGI CLINIC,"848 Sims Avenue, #01-734, Eunosville, S400848"
101,CHEN FAMILY CLINIC,"153 Serangoon North Ave 1, #01-490, S550153"
102,CHENG CLINIC,"447 Ang Mo Kio Ave 10, #01-1677, S560447"
103,CHEONG FAMILY CLINIC PTE LTD,"45 Owen Rd, #01-293, S210045"
104,CHIA & LEE MEDICAL & DENTAL CLINIC,"802 Tampines Ave 4, #01-15, S520802"
105,CHIA CLINIC AND SURGERY,"27 Foch Road, #01-04, Hoa Nam Building, S209264"
106,CHIN CHOO CLINIC,"35 Circuit Road, #01-430, S370035"
107,CHIN MEDICAL CLINIC,"524A Jelapang Road, #02-02A, Greenridge Shopping Centre, S671524"
108,CHINATOWN WELLNESS CLINIC,"531 Upper Cross Street, #02-02, Hong Lim Complex, S50531"
109,CHNG CLINIC AND SURGERY,"178 Toa Payoh Central, #01-236, S310178"
110,CHONG & LIM FAMILY CLINIC,"103 Gangsa Road, #01-39, S670103"
111,CHONG MEDICAL CLINIC,"703 Bedok Reservoir Road, #01-3500, S470703"
112,CHONG'S MEDICAL CENTRE,"190 Clemenceau Ave, #01-29/30, Singapore Shopping Centre, S239924"
113,CHOONG'S CLINIC,"21 Old Airport Rd, #01-97, S390021"
114,CHOONG'S CLINIC,"480 Tampines St 44, #01-261, S520480"
115,CHUA & PARTNERS FAMILY CLINIC,"18 Jalan Membina, #02-05, S164018"
116,CHUA CLINIC,"678 Hougang Ave 8, #01-513, S530678"
117,CHUA CLINIC & SURGERY,"769 Yishun Ave 3, #01-281, S760769"
118,CHUA MEDICAL CENTRE PTE LTD,"248 Simei St 3, #01-134, S520248"
119,CHUA MEDICAL CLINIC AND SURGERY PTE LTD,"642 Bukit Batok Central, #01-52, S650642"
120,CHUA MEDICO CLINIC LLP,"529 Ang Mo Kio Ave 10, #01-2323, S560529"
121,CHUAH CLINIC & SURGERY PTE LTD,"113 Aljunied Ave 2, #01-19, S380113"
122,CIRCUIT MEDICAL CLINIC,"36 Circuit Road, #01-424, Balam Gardens, S370036"
123,CITYGP FAMILY CLINIC,"122 Bedok North Street 2, #01-106, S460122"
124,CITYHEALTH CLINIC & SURGERY,"152 Beach Road, #03-08, Gateway East, S189721"
125,CLARION MEDICAL,"202 Ang Mo Kio Avenue 3, #01-1676, Ang Mo Kio View, S560202"
126,CLIFFORD DISPENSARY PTE LTD,"50 Airport Boulevard, #03-50A, Dnata Building, S819658"
127,CLIFFORD DISPENSARY PTE LTD,"350 Orchard Road, #15-03, Shaw House, S238868"
128,CLINIC @ THE SAIL,"2 Marina Boulevard, #B1-11/12, The Sail @ Marina Bay, S018987"
129,CLINIC FARIDAH,"59 New Upper Changi Road, #01-1230, S461059"
130,CLINIC@COSTA,"84 Bayshore Road, #01-35/36, Costa Del Sol, S469994"
131,CLINICAL ASSOCIATES MEDICAL CENTRE,"137 Teck Whye Lane, #01-313, S680137"
132,CLOVER MEDICAL CLINIC PTE LTD,"21 Choa Chu Kang North 6, #01-01, Yew Tee Point, S689578"
133,COMFORT CLINIC & SURGERY,"214 Serangoon Ave 4, #01-100, S550214"
134,CORNERSTONE MEDICAL,"29A Ghim Moh Link, #01-03, S271029"
135,CORPORATION CLINIC (CHOA CHU KANG),"253 Choa Chu Kang Ave 1, #01-21, S680253"
136,CRAWFURD MEDICAL,"3 Temasek Boulevard, #02-482, Suntec City Mall, S38983"
