Sno,Name,Address
1,ANG MO KIO POLYCLINIC,"21 Ang Mo Kio Central 2, S569666"
2,BEDOK POLYCLINIC,"Heartbeat@ #02-01, #03-01, 11 Bedok North St 1, S469662"
3,ANG MO KIO POLYCLINIC,"21 Ang Mo Kio Central 2, S569666"
4,ANG MO KIO POLYCLINIC,"21 Ang Mo Kio Central 2, S569666"
5,CHOA CHU KANG POLYCLINIC,"2 Teck Whye Cres, S688846"
6,CLEMENTI POLYCLINIC,"451 Clementi Polyclinic Ave 3, #02-307, S120451"
7,GEYLANG POLYCLINIC,"21 Geylang East Central, S389707"
8,HOUGANG POLYCLINIC,"89 Hougang Ave 4, S538829"
9,JURONG POLYCLINIC,"190 Jurong East Ave 1, S609788"
10,MARINE PARADE POLYCLINIC,"80 Marine Parade Central, S440080"
11,OUTRAM POLYCLINIC,"3 Second Hospital Ave,  #02-00 Health Promotion Board Building, S168937"
12,PASIR RIS POLYCLINIC,"1 Pasir Ris Drive 4,  #01-11, S519457"
13,PIONEER POLYCLINIC,"26 Jurong West St 61, S648201"
14,PUNGGOL POLYCLINIC,"681 Punggol Drive, Oasis Terraces, #02-01, S820681"
15,QUEENSTOWN POLYCLINIC,"580 Stirling Road, S148958"
16,SENGKANG POLYCLINIC,"2 Sengkang Square, #01-04 Sengkang Community Hub, S545025"
17,TAMPINES POLYCLINIC,"1 Tampines St 41, S529203"
18,TOA PAYOH POLYCLINIC,"2003 Lorong 8 Toa Payoh, S319260"
19,WOODLANDS POLYCLINIC,"10 Woodlands St 31, S738579"
20,YISHUN POLYCLINIC,"2 Yishun Ave 9, S768898"
